Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Age,MRP_Outlet_Combo,Visibility_MRP_Combo,outlet_item_combo,Type_Age_Outlet_combo
17.7,0,0.195068226,13,185.4266,2,2,0,184.4266,1,27,0.0,36.17083791521161,0,0
19.35,0,0.033082215,10,172.5738,2,1,1,4865.6664,1,21,172.5738,5.709123554967,1,42
13.65,1,0.078946455,4,186.024,2,1,1,1118.544,1,23,186.024,14.685935344919999,1,46
17.6,0,0.041700756,14,164.8526,2,1,1,2302.3364,0,23,164.8526,6.874478048565599,0,46
8.645,0,0.143422643,8,95.841,2,0,1,2027.361,2,28,95.841,13.745769527762999,2,56
15.6,1,0.105296072,13,170.1764,2,0,1,3435.528,1,28,170.1764,17.9189064671008,1,56
15.85,1,0.121531501,0,59.222,0,2,1,599.22,1,38,59.222,7.197338552222,1,0
18.25,0,0.06613202877895107,15,164.7526,2,1,1,4604.6728,1,23,164.7526,10.895423684607014,1,46
7.855,0,0.011324862,3,189.6188,2,1,1,2285.0256,1,18,189.6188,2.1474067426056,1,36
7.825,0,0.186357148,9,254.3698,1,0,1,5580.7356,2,26,254.3698,47.4036304653304,2,26
8.39,1,0.024205661,5,114.0176,2,0,1,2290.352,1,28,114.0176,2.7598713736336,1,56
12.85,0,0.033230816,13,172.3422,1,0,1,1207.0954,1,26,172.3422,5.7270719372352,1,26
12.277108208955223,0,0.113720344,0,89.9804,2,0,0,643.1628,1,40,0.0,10.2326020412576,0,0
19.0,0,0.112556507,5,104.9622,2,1,1,1587.933,1,18,104.9622,11.8141785990354,1,36
5.905,0,0.06613202877895107,3,222.5456,2,1,1,5305.0944,1,23,222.5456,14.717392023828932,1,46
7.76,0,0.059352241,13,101.87,2,0,1,1697.79,1,28,101.87,6.04621279067,1,56
11.8,1,0.014087057,5,180.3344,2,0,1,1427.4752,1,28,180.3344,2.5403809718607997,1,56
16.75,0,0.045230944,13,187.9556,1,2,2,4693.89,1,16,375.9112,8.501409218086401,2,32
13.384736495388669,0,0.293417759,9,194.6136,2,0,0,583.2408,2,40,0.0,57.1030863829224,0,0
12.277108208955223,1,0.031382044,0,171.3764,1,2,3,3091.9752,1,40,514.1292,5.3781417253615995,3,120
15.5,1,0.12639886,6,177.0028,2,1,1,2479.4392,1,18,177.0028,22.372952136808003,1,36
6.055,0,0.025403898,6,160.992,2,1,1,2716.464,1,21,160.992,4.089824346816,1,42
12.768202247191004,1,0.039057677,2,155.963,1,2,3,3285.723,1,40,467.889,6.091552477951,3,120
6.305,1,0.123115764,13,95.6436,2,0,1,661.8052,1,28,95.6436,11.7752348857104,1,56
20.85,0,0.039624006,10,117.2808,1,0,1,1523.3504,1,26,117.2808,4.647135122884801,1,26
20.75,0,0.040421193,6,122.173,2,2,0,369.519,1,27,0.0,4.938378412389,0,0
8.895,0,0.105274111,4,39.9138,1,0,1,690.4346,0,26,39.9138,4.2018898116318,0,26
19.6,0,0.033970195,14,55.1614,2,1,1,1381.535,0,23,55.1614,1.8738435144730001,0,46
19.7,0,0.053212652,6,57.893,2,1,1,622.523,1,21,57.893,3.080640062236,1,42
9.8,0,0.024378706,8,114.5492,2,1,1,1274.3412,2,21,114.5492,2.7925612693352,2,42
12.867061281337046,0,0.009714595,5,120.0414,2,0,0,487.3656,1,40,0.0,1.166153584233,0,0
12.15,0,0.131383762,5,246.046,1,0,1,1231.73,1,26,246.046,32.326449105052,1,26
8.75,1,0.07461309,6,187.4556,2,1,1,3755.112,1,21,187.4556,13.986641553804002,1,42
13.384736495388669,0,0.028459761,9,149.9708,1,2,3,4363.6532,2,40,449.9124,4.2681331249787995,6,120
8.75,1,0.074627201,6,187.8556,2,0,1,1314.2892,1,28,187.8556,14.019137620175602,1,56
13.3,0,0.063695084,5,151.0708,2,1,1,1805.6496,1,23,151.0708,9.6224672959472,1,46
12.987879554655871,1,0.045797829,13,178.5344,1,2,3,2854.9504,1,40,535.6032,8.1764879218176,3,120
8.31,1,0.115857223,13,179.1028,1,0,1,3896.2616,1,26,179.1028,20.7503530395244,1,26
16.75,1,0.024832806,14,38.7822,0,2,1,667.7974,0,38,38.7822,0.9630708488532,0,0
19.75,0,0.034027909,13,212.0902,1,2,2,3185.853,1,16,424.1804,7.216986025391801,2,32
17.1,1,0.0467696,3,141.1838,0,2,1,2247.7408,1,38,141.1838,6.603109852479999,1,0
10.5,1,0.116576702,0,163.121,0,2,1,1794.331,1,38,163.121,19.016108206942,1,0
6.635,1,0.06613202877895107,0,121.3098,2,1,1,2530.7058,1,23,121.3098,8.022463184768798,1,46
11.84745989304813,0,0.278974075,14,225.372,2,0,0,679.116,0,40,0.0,62.8729452309,0,0
14.15,0,0.035913805,14,41.4138,0,2,1,812.276,0,38,41.4138,1.487327137509,0,0
13.3,0,0.079806266,4,232.53,2,0,1,699.09,1,28,232.53,18.55735103298,1,56
8.89,0,0.005505481,5,102.4016,2,1,1,2732.4432,1,18,102.4016,0.5637700631696,1,36
12.81734421364985,1,0.064625342,10,176.937,2,0,0,176.437,1,40,0.0,11.434614137454002,0,0
12.987879554655871,0,0.071636937,13,121.7098,1,2,3,4097.3332,1,40,365.12940000000003,8.7189172748826,3,120
9.1,1,0.06613202877895107,1,173.2054,2,1,1,3151.8972,1,23,173.2054,11.45442449746973,1,46
7.5,0,0.032677678,5,239.0906,1,0,1,5942.265,1,26,239.0906,7.8129256396268,1,26
16.85,1,0.160760054,5,192.4478,2,1,1,4843.695,1,18,192.4478,30.9379187201812,1,36
7.485,0,0.06911065,13,109.0228,2,1,1,2542.0244,1,21,109.0228,7.53463657282,1,42
11.6,0,0.041177505,14,140.3154,2,1,1,2552.6772,0,18,140.3154,5.777838085077001,0,36
11.65,0,0.040081193,13,227.0694,1,2,2,1141.847,1,16,454.1388,9.1012124457942,2,32
13.0,0,0.035307322,9,47.5034,2,1,1,680.4476,2,18,47.5034,1.6772178398948,2,36
12.65,0,0.063017847,14,159.0578,2,1,1,2085.9514,0,23,159.0578,10.023480104556599,0,46
20.25,1,0.171938781,3,92.512,2,2,0,186.424,1,27,0.0,15.906400507872002,0,0
8.6,1,0.040197932,3,190.153,2,1,1,3036.048,1,21,190.153,7.643757363595999,1,42
12.6,0,0.049058014,1,62.7194,2,1,1,866.8716,1,18,62.7194,3.0768892032716,1,36
17.7,0,0.01161096,5,95.041,2,1,1,868.869,1,21,95.041,1.10351724936,1,42
14.15,0,0.183507295,14,82.4276,2,0,1,1137.1864,0,28,82.4276,15.126065909341998,0,56
19.25,0,0.102349519,4,52.7956,2,1,1,928.1252,1,18,52.7956,5.4036042653164,1,36
8.88,0,0.086708987,7,151.7682,0,2,1,762.341,0,38,151.7682,13.1596668808134,0,0
20.5,0,0.032835147,9,40.2822,2,1,1,707.0796,2,23,40.2822,1.3226719584834001,2,46
12.305705009276437,0,0.033809913,3,180.5976,1,2,3,6501.8699,1,40,541.7927999999999,6.1059891440088,3,120
13.5,0,0.07266912,9,160.292,2,0,1,1438.128,2,28,160.292,11.648278583040002,2,56
13.142313953488374,0,0.144338493,8,224.4404,1,2,3,6501.8699,2,40,673.3212000000001,32.3953891043172,6,120
8.89,0,0.009163216,5,101.7016,2,2,0,101.2016,1,27,0.0,0.9319137283456,0,0
7.855,0,0.011307038,3,188.5188,1,2,2,952.094,1,16,377.0376,2.1315892353144,2,32
7.235,0,0.076855628,9,116.0492,2,0,1,1969.4364,2,28,116.0492,8.9190341448976,2,56
13.69073076923077,0,0.059956876,15,165.4526,1,2,3,5262.4832,1,40,496.3578,9.920021022077599,3,120
6.92,0,0.038532062,4,60.5852,2,1,1,1314.2892,1,23,60.5852,2.3344726826824,1,46
9.3,0,0.043209581,6,90.8172,2,1,1,535.3032,1,18,90.8172,3.9241731595931997,1,36
18.5,0,0.056816465,11,132.1284,2,2,0,263.6568,2,27,0.0,7.507068614105999,0,0
8.02,0,0.019866705,9,154.5972,2,1,1,1402.1748,2,21,154.5972,3.0713369662259993,2,42
9.195,0,0.048331717,9,105.1622,2,1,1,1693.7952,2,18,105.1622,5.082669689497401,2,36
12.8,0,0.091221855,11,105.5938,2,1,1,2143.876,2,23,105.5938,9.632462312499001,2,46
16.6,0,0.027622076,9,177.6344,1,0,1,2676.516,2,26,177.6344,4.9066308970143995,2,26
14.0,1,0.06613202877895107,5,53.064,2,1,1,905.488,1,21,53.064,3.5092299751262592,1,42
18.6,0,0.039355947,5,246.3802,1,0,1,6501.8699,1,26,246.3802,9.696526093049401,1,26
16.0,0,0.060836524,15,226.8404,2,1,1,6301.1312,1,21,226.8404,13.8001814387696,1,42
17.6,0,0.082316506,8,160.692,2,1,1,1597.92,2,21,160.692,13.227603982152,2,42
21.25,0,0.155350299,13,178.237,2,1,1,529.311,1,21,178.237,27.689171242862997,1,42
7.235,0,0.076841095,9,117.5492,2,1,1,1969.4364,2,21,117.5492,9.032609244374,2,42
14.6,0,0.151419185,14,50.3692,2,1,1,1034.6532,0,18,50.3692,7.626863213102,0,36
13.85,1,0.026001976,5,161.521,1,2,2,1794.331,1,16,323.042,4.199865165496,2,32
13.65,1,0.073209447,5,197.6426,1,2,2,2768.3964,1,16,395.2852,14.4693054496422,2,32
11.84745989304813,0,0.041683481,14,31.29,1,2,3,898.83,0,40,93.87,1.30427612049,0,120
7.365,0,0.042560252,6,226.172,2,0,1,3169.208,1,28,226.172,9.625937315344,1,56
18.35,0,0.014081156,9,223.5746,1,2,2,3589.9936,2,16,447.1492,3.1481888202376,4,32
5.465,1,0.06613202877895107,0,132.5626,1,2,2,262.3252,1,16,265.1252,8.766633678212578,2,32
18.6,0,0.152918384,2,99.8358,2,1,1,1910.1802,1,18,99.8358,15.2667292013472,1,36
13.85,0,0.030969274,14,140.9154,2,1,1,1701.7848,0,18,140.9154,4.364047633419601,0,36
14.0,1,0.060376776,5,154.5656,0,2,1,2471.4496,1,38,154.5656,9.3321726085056,1,0
14.0,1,0.04192285,13,54.764,0,2,1,1331.6,1,38,54.764,2.2958629574,1,0
13.224769381746812,0,0.077367431,6,97.0094,1,2,3,1808.9786,1,40,291.02819999999997,7.5053680608514,3,120
5.905,0,0.045838211,3,222.5456,1,2,2,3315.684,1,16,445.0912,10.2010921699216,2,32
7.27,0,0.071077939,14,114.2518,2,0,1,2618.5914,0,28,114.2518,8.1207824710402,0,56
6.155,1,0.094659871,10,214.556,2,0,1,2769.728,1,28,214.556,20.309843282276002,1,56
19.5,1,0.077608838,14,233.4958,2,1,1,5375.0034,0,18,233.4958,18.1213377158804,0,36
15.2,0,0.021327477,3,216.8824,2,1,1,2838.9712,1,18,216.8824,4.6255543977048,1,36
12.15,1,0.042485444,3,125.0046,1,2,2,1743.0644,1,16,250.0092,5.310875933042399,2,32
13.384736495388669,0,0.025578526,9,198.8084,1,2,3,5555.4352,2,40,596.4252,5.0852258284184,6,120
12.6,0,0.0489808,1,61.9194,1,2,2,619.194,1,16,123.8388,3.03286174752,2,32
14.5,0,0.019471688,11,164.821,2,1,1,2120.573,2,21,164.821,3.209343087848,2,42
16.6,0,0.122918852,6,173.0738,2,1,1,3823.0236,1,18,173.0738,21.2740328072776,1,36
11.8,1,0.057373797,10,151.4366,0,2,1,1360.2294,1,38,151.4366,8.6884927467702,1,0
13.1,1,0.044155597,6,178.8318,0,2,1,3969.4996,1,38,178.8318,7.896424891584599,1,0
17.7,0,0.291865402,6,115.1834,2,2,0,345.5502,1,27,0.0,33.6180493447268,0,0
17.85,0,0.06613202877895107,1,196.5794,2,2,0,585.2382,1,27,0.0,13.000194538148932,0,0
12.3,1,0.064750025,15,92.6804,2,1,1,1010.6844,1,23,92.6804,6.001058217010001,1,46
11.8,0,0.098312421,8,81.4618,2,2,0,161.1236,2,27,0.0,8.0087067770178,0,0
11.84745989304813,1,0.191013663,14,42.1112,2,0,0,42.6112,0,40,0.0,8.043814565325599,0,0
11.1,0,0.176573035,0,157.4604,2,1,1,3010.7476,1,23,157.4604,27.803260720313997,1,46
12.867061281337046,1,0.060134441,5,153.0656,1,2,3,6024.1584,1,40,459.19679999999994,9.204514292329598,3,120
11.3,0,0.007294652,10,198.1426,2,1,1,988.713,1,23,198.1426,1.4453813133752,1,46
13.142313953488374,0,0.128478462,8,117.944,2,0,0,239.688,2,40,0.0,15.153263722127999,0,0
5.75,1,0.075107656,4,112.8176,0,2,1,1374.2112,1,38,112.8176,8.4734654915456,1,0
12.277108208955223,1,0.049381406,0,226.8062,1,2,3,4739.8302,1,40,680.4186,11.2000090455172,3,120
11.35,1,0.045165796,13,100.0016,1,2,2,1012.016,1,16,200.0032,4.5166518652736,2,32
13.224769381746812,1,0.09415375,6,165.7526,2,0,0,657.8104,1,40,0.0,15.60622886225,0,0
14.0,0,0.028907832,8,130.431,1,0,1,778.986,2,26,130.431,3.7704774355920003,2,26
19.75,1,0.018059621,5,179.766,2,1,1,2336.958,1,23,179.766,3.2465058286860002,1,46
6.525,0,0.090436094,9,85.0882,1,0,1,2233.0932,2,26,85.0882,7.6950444534908,2,26
10.3,0,0.146399712,10,103.9648,1,0,1,1661.8368,1,26,103.9648,15.220416778137599,1,26
5.78,1,0.074264356,13,264.7568,1,0,1,4745.8224,1,26,264.7568,19.6619932486208,1,26
11.85,1,0.050186726,6,164.1526,2,1,1,3124.5994,1,23,164.1526,8.2382815583876,1,46
16.35,0,0.020631654,6,50.1324,1,2,2,467.3916,1,16,100.2648,1.0343143309896,2,32
13.384736495388669,0,0.01561108,9,182.5976,1,2,3,5070.7328,2,40,547.7927999999999,2.8505457414079998,6,120
10.5,0,0.041395445,6,37.6164,2,0,1,540.6296,1,28,37.6164,1.557147617298,1,56
19.0,1,0.097313129,5,48.0718,2,0,1,992.7078,1,28,48.0718,4.6780172746622,1,56
14.6,0,0.059582996,11,238.8538,1,0,1,6008.845,2,26,238.8538,14.2316250099848,2,26
13.42606890459364,1,0.098663652,4,62.9194,1,2,3,2105.2596,1,40,188.75820000000002,6.207857785648801,3,120
12.305705009276437,1,0.101338651,3,232.63,1,2,3,5359.69,1,40,697.89,23.57441038213,3,120
18.75,0,0.052146456,8,104.628,2,1,1,745.696,2,23,104.628,5.455979398368,2,46
5.26,1,0.041764487,0,161.8868,2,1,1,3275.736,1,21,161.8868,6.7611191540716,1,42
18.25,0,0.054344186,13,140.2154,2,1,1,1701.7848,1,23,140.2154,7.6198917776643995,1,46
12.277108208955223,0,0.078362484,0,177.937,1,2,3,6501.8699,1,40,533.811,13.943585315508,3,120
15.1,0,0.052339069,10,242.7512,2,0,1,4119.9704,1,28,242.7512,12.705371806632801,1,56
15.5,1,0.042464962,0,81.5934,2,2,0,327.5736,1,27,0.0,3.4648606304508003,0,0
13.65,0,0.065732883,5,45.7402,1,0,1,780.9834,1,26,45.7402,3.0066352149966002,1,26
16.1,0,0.023625114,14,189.3846,2,1,1,3630.6074,0,23,189.3846,4.4742327648444,0,46
12.987879554655871,1,0.051643608,13,107.3622,2,0,0,317.5866,1,40,0.0,5.5445713708176,0,0
12.85,0,0.165694219,5,39.7164,2,2,0,231.6984,1,27,0.0,6.5807778794916,0,0
9.5,0,0.041878397,14,32.99,2,1,1,133.16,0,21,32.99,1.38156831703,0,42
13.8,0,0.058091482,4,245.1802,2,1,1,5650.6446,0,21,245.1802,14.2428811750564,0,42
5.78,1,0.06613202877895107,13,263.7568,2,1,1,2636.568,1,18,263.7568,17.44277228824404,1,36
19.7,0,0.026903714,9,96.0726,2,1,1,1272.3438,2,23,96.0726,2.5847097536363997,2,46
14.65,0,0.06613202877895107,9,161.5552,2,2,0,324.9104,2,27,0.0,10.683973135789197,0,0
6.67,1,0.150554711,13,130.0626,2,2,0,131.1626,1,27,0.0,19.581537154908602,0,0
6.11,1,0.06613202877895107,6,131.2968,2,2,0,260.9936,1,27,0.0,8.68292375618418,0,0
13.65,1,0.134975628,5,260.0936,2,2,0,260.9936,1,27,0.0,35.10629699878079,0,0
17.2,0,0.15616879,10,160.6578,0,2,1,3690.5294,1,38,160.6578,25.089734230062003,1,0
6.32,0,0.06613202877895107,10,40.2822,2,1,1,1139.1838,1,21,40.2822,2.6639436096794626,1,42
4.88,1,0.133700752,0,52.9298,1,0,1,1995.4026,1,26,52.9298,7.0767540632096,1,26
5.425,1,0.115119905,0,88.3514,2,1,1,1416.8224,1,18,88.3514,10.171004774617,1,36
15.85,1,0.110030997,5,37.2506,2,0,1,265.6542,1,28,37.2506,4.0987206568482,1,56
7.5,0,0.051038045,3,121.7072,2,1,1,3552.7088,1,18,121.7072,6.211697550424,1,36
12.65,0,0.062837968,14,161.5578,0,2,1,2406.867,0,38,161.5578,10.151963866550398,0,0
13.853284671532847,0,0.017116983,11,211.956,2,0,0,213.056,2,40,0.0,3.6280472487479996,0,0
20.75,0,0.024129332,6,124.173,0,2,1,2956.152,1,38,124.173,2.996211542436,1,0
13.42606890459364,0,0.049754975,4,152.134,2,0,0,153.134,0,40,0.0,7.56942336665,0,0
9.0,0,0.06613202877895107,3,79.7644,2,1,1,1649.8524,1,21,79.7644,5.274981596335764,1,42
12.305705009276437,0,0.101561568,3,181.9292,1,2,3,3101.2964,1,40,545.7876,18.4770148169856,3,120
13.384736495388669,0,0.005949644,9,165.6526,1,2,3,4769.1254,2,40,496.9578,0.9855739976744,6,120
12.5528431372549,1,0.13956116,12,170.4764,1,2,3,3435.528,1,40,511.42920000000004,23.791884136624,3,120
14.1,0,0.126035694,6,86.4198,2,1,1,1133.8574,1,23,86.4198,10.8919794683412,1,46
7.55,0,0.027164679,3,152.334,2,1,1,2603.278,1,21,152.334,4.138104210786,1,42
13.0,0,0.099325278,9,45.406,2,0,1,605.878,2,28,45.406,4.509963572868,2,56
11.400327868852461,0,0.04357366,7,192.8846,1,2,3,2293.0152,0,40,578.6538,8.404687979636,0,120
12.987879554655871,1,0.082741482,13,118.7782,2,0,0,119.1782,1,40,0.0,9.8278842972924,0,0
12.3,1,0.064565202,15,92.9804,0,2,1,1929.4884,1,38,92.9804,6.0032983080408,1,0
12.987879554655871,0,0.084554569,13,109.8912,1,2,3,2074.6328,1,40,329.67359999999996,9.2918030528928,3,120
13.142313953488374,0,0.058451805,8,79.9618,1,2,3,241.6854,2,40,239.8854,4.673911541049,6,120
17.25,0,0.113748685,9,251.3724,2,1,1,6501.8699,2,23,251.3724,28.593279945294,2,46
15.85,0,0.020603511,9,42.7112,2,1,1,639.168,2,18,42.7112,0.8800006790232,2,36
18.85,0,0.052044976,8,192.1846,2,1,1,3248.4382,2,21,192.1846,10.0022428945696,2,42
16.35,1,0.062764429,6,227.6062,2,1,1,6501.8699,1,18,227.6062,14.2855731798598,1,36
14.1,0,0.087977262,4,229.0668,2,1,1,3225.1352,0,21,229.0668,20.1526698791016,0,42
7.905,0,0.010010425,13,249.0408,2,1,1,3755.112,1,21,249.0408,2.49300425034,1,42
12.0,0,0.033946163,3,179.3976,0,2,1,3440.8544,1,38,179.3976,6.089860171408801,1,0
12.15,1,0.058414678,6,163.4552,2,1,1,974.7312,1,21,163.4552,9.5481828754256,1,42
10.1,0,0.027106459,10,75.367,1,0,1,535.969,1,26,75.367,2.042932495453,1,26
17.5,0,0.027022883,5,262.491,2,1,1,5259.82,1,18,262.491,7.093263581553,1,36
13.42606890459364,0,0.058153409,4,152.034,2,0,0,306.268,0,40,0.0,8.841295383906,0,0
17.1,0,0.128937661,6,112.3886,1,2,2,1779.0176,1,16,224.7772,14.4911232070646,2,32
7.785,0,0.088846306,6,61.451,1,0,1,759.012,1,26,61.451,5.459694350006,1,26
11.8,1,0.09357779,13,125.9704,0,2,1,1877.556,1,38,125.9704,11.788031637416,1,0
13.15,1,0.165694678,6,171.8764,2,1,1,3779.0808,1,23,171.8764,28.4790047537992,1,46
12.867061281337046,0,0.148392623,5,41.5796,2,0,0,41.2796,1,40,0.0,6.1701059072908,0,0
8.5,0,0.098438394,3,51.1324,2,1,1,259.662,1,18,51.1324,5.033391337365599,1,36
8.645,0,0.143303291,8,96.341,0,2,1,193.082,2,38,96.341,13.805982358230999,2,0
17.6,1,0.076276208,10,110.9202,2,1,1,1687.803,1,23,110.9202,8.460572246601599,1,46
9.1,0,0.175103435,0,127.5362,2,1,1,4655.9394,1,18,127.5362,22.332026706847,1,36
12.8,1,0.023511371,10,225.9404,0,2,1,4950.8888,1,38,225.9404,5.3121685682884,1,0
7.63,0,0.06105276,14,95.4436,2,1,1,1418.154,0,21,95.4436,5.827095204336,0,42
9.285,1,0.049559042,5,246.4144,2,1,1,1225.072,1,18,246.4144,12.2120615990048,1,36
13.6,1,0.119418124,4,231.03,2,1,1,5359.69,1,23,231.03,27.58916918772,1,46
